folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;s10b_13_15;s10b_13_16;s10b_13_17;upm;estrato;factor
70097;7;1;160;240;60;0;0;0;80;0;40;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;600;100;198;0;0;110;160;0;0;420;0;0;0;0;2500;350;0;0;0;0;0;0;370;1100;0;0;0;0;0;200;0;721-05352545235-A;11;369
70098;7;1;30;400;0;0;0;0;40;10;0;0;0;0;500;0;0;0;0;0;0;0;12;0;0;0;0;40;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;500;0;0;0;0;0;0;0;721-05352545235-A;11;369
70126;7;1;70;100;0;0;0;0;60;25;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;50;10;0;0;70;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;600;0;0;0;0;0;0;0;723-05411035899-A;13;486
70127;7;1;50;168;0;0;0;0;20;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;723-05411035899-A;13;486
70128;7;1;20;100;0;0;0;0;25;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;723-05411035899-A;13;486
70129;7;1;100;350;0;0;0;0;100;10;0;0;0;150;200;0;0;0;0;0;20;15;50;0;0;0;0;250;15;0;0;400;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;500;150;0;0;0;0;0;0;723-05411035899-A;13;486
70146;3;1;39;150;50;0;0;0;25;0;0;0;0;0;0;0;200;0;0;40;10;0;4;0;0;0;0;40;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;600;0;0;0;0;0;0;0;322-05238083234-A;12;189
70151;3;1;80;600;0;0;300;50;45;0;30;0;50;0;0;20;50;0;0;50;0;0;0;0;0;100;0;40;20;0;0;0;0;0;0;0;0;0;14;0;500;0;0;0;0;0;0;0;0;150;200;40;0;0;0;0;0;0;322-05238083234-A;12;189
70157;3;1;55;50;0;0;0;15;80;7;15;0;0;0;200;0;0;0;0;0;15;0;200;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;800;0;0;0;0;0;0;0;324-05254380931-A;14;207
70160;3;1;50;200;0;0;0;0;30;7;0;0;0;0;50;0;0;0;0;0;0;0;30;0;0;0;0;200;0;0;0;200;100;0;0;0;0;0;0;9000;0;0;0;0;0;0;0;0;0;135;400;50;0;0;0;0;0;300;324-05254380931-A;14;207
70165;3;1;100;100;0;10;0;0;100;50;0;0;0;0;200;0;0;0;0;0;0;0;40;0;0;0;200;100;0;0;0;0;300;0;100;0;150;0;0;500;200;1200;0;15;0;0;0;0;0;500;1000;200;0;0;0;1500;500;0;322-05238083234-A;12;189
70170;3;1;30;70;0;0;0;10;25;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322-05238083234-A;12;189
70173;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314-05246546477-A;14;207
70175;4;2;25;0;20;0;0;0;32;7;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;20;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;400;0;0;0;0;0;0;0;453-04873070581-D;23;177
70181;4;2;10;0;0;0;0;0;18;7;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;100;20;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;200;100;0;0;0;0;0;0;0;453-04873070581-D;23;177
70187;2;2;35;0;0;5;0;5;25;0;0;0;0;0;0;0;0;0;0;350;10;0;5;0;0;0;0;20;0;0;0;0;400;0;0;0;40;0;0;0;0;600;0;50;0;0;0;0;0;0;0;0;0;0;0;300;0;0;244-06057568524-A;24;712
70188;2;2;25;0;0;0;0;5;10;20;20;0;0;0;40;0;0;0;0;400;10;0;5;0;0;0;0;20;0;0;0;100;100;50;25;0;50;0;0;0;0;0;0;0;0;0;0;0;300;400;500;200;0;0;0;0;0;0;244-06057568524-A;24;712
70190;2;2;50;40;0;0;0;10;30;18;20;0;0;0;40;0;0;0;0;200;0;0;10;0;0;0;0;20;5;0;0;180;0;50;40;0;90;0;0;0;0;0;0;30;20;0;0;0;0;400;300;100;0;0;0;0;0;0;244-06057568524-A;24;712
70195;2;2;40;0;350;10;0;0;35;0;20;0;0;0;0;0;350;0;250;100;9;100;10;0;0;0;150;25;0;0;0;0;0;250;10;0;36;20;0;0;0;350;0;25;0;0;0;0;0;0;0;0;0;0;0;300;0;0;244-06057568524-A;24;712
70202;7;1;35;0;0;0;0;0;150;40;40;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;150;100;0;250;0;300;800;800;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05199547769-A;13;486
70207;7;1;20;0;0;0;0;0;50;15;20;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05199547769-A;13;486
