folio;depto;area;s09a_01;s09a_02;s09a_03;s09a_04;s09a_05;s09a_06;s09a_07;s09a_08;s09a_09;s09b_10;s09b_11;s09b_12;s09b_13;s09b_14;s09b_15;s09b_16;upm;estrato;factor
13155;2;1;2;2;1;1;2;2;2;2;2; ; ; ; ; ; ; ;222-00665531828-A;12;182
13159;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;222-00665531828-A;12;182
13160;2;1;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ;222-00665531828-A;12;182
13161;2;1;1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;222-00665531828-A;12;182
13162;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05192340276-A;13;486
13168;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-04185886653-A;13;205
13170;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;152-03576155699-D;22;388
13174;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
13178;7;1;1;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;713-05231319386-A;13;530
13182;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05231319386-A;13;530
13185;1;2;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;152-03576155699-D;22;388
13194;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05192340276-A;13;486
13195;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05192340276-A;13;486
13196;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05192340276-A;13;486
13197;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05192340276-A;13;486
13201;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;421-04098188253-A;11;154
13202;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;421-04098188253-A;11;154
